Timestamp;PID;PID_NAME;COMMAND;CPU%;CPU#;CPUWait%;UserCPU%;SystemCPU%;GuestCPU%;AppThreads;fdNR; MinorFaults minflt/s;MajorFaults majflt/s ;MemVSZ(KB);MemRSS(KB);Mem%;StackSize;StackRef; DiskRead(kB/s);DiskWrite(kB/s);kB_ccwr/s;iodelay;CSWCH;NS_CSWCH
11.04.2024 17:14:03;3786540;/usr/bin/postmaster -D /var/lib/pgsql/data;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;11;0.17;0.00;426504; 27188;1.36;132;36;0.00;0.03;0.00;0;0.00;0.00
11.04.2024 17:14:03;3786542;postgres: logger ;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;9;0.00;0.00;280860; 4356;0.22;132;16;0.00;0.00;0.00;0;0.00;0.00
11.04.2024 17:14:03;3786544;postgres: checkpointer ;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;9;0.01;0.00;426632; 8332;0.42;132;24;0.00;0.02;0.00;0;0.00;0.00
11.04.2024 17:14:04;3786545;postgres: background writer ;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;8;0.01;0.00;426504; 5792;0.29;132;20;0.00;0.00;0.00;0;0.03;0.00
11.04.2024 17:14:04;3786546;postgres: walwriter ;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;9;0.04;0.00;426504; 9664;0.48;132;24;0.00;0.00;0.00;0;0.03;0.00
11.04.2024 17:14:04;3786547;postgres: autovacuum launcher ;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;9;0.01;0.00;427056; 6780;0.34;132;16;0.00;0.00;0.00;0;0.00;0.00
11.04.2024 17:14:04;3786548;postgres: stats collector ;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;8;0.00;0.00;280996; 4384;0.22;132;16;0.00;0.02;0.01;0;0.02;0.00
11.04.2024 17:14:05;3786549;postgres: logical replication launcher ;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;9;0.01;0.00;426932; 7036;0.35;132;16;0.00;0.00;0.00;0;0.00;0.00
11.04.2024 17:14:05;3786612;postgres: postgres siimon 127.0.0.1(50354) idle;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;96;0.09;0.00;433320; 23448;1.17;132;44;0.00;0.03;0.00;0;0.17;0.00
11.04.2024 17:14:05;3786616;postgres: postgres siimon 127.0.0.1(50366) idle;postmaster;0.0;0;0.00;0.00;0.00; 0.00;1;42;0.03;0.00;428808; 18556;0.93;132;36;0.00;0.01;0.00;0;0.12;0.00
