Timestamp;PID;PID_NAME;COMMAND;CPU%;CPU#;CPUWait%;UserCPU%;SystemCPU%;GuestCPU%;AppThreads;fdNR; MinorFaults minflt/s;MajorFaults majflt/s ;MemVSZ(KB);MemRSS(KB);Mem%;StackSize;StackRef; DiskRead(kB/s);DiskWrite(kB/s);kB_ccwr/s;iodelay;CSWCH;NS_CSWCH
12.04.2024 14:59:23;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.03;17.11;1.08; 0.00;41;25;2556.28;7.10;27367520; 694940;34.73;132;36;1417.02;1.38;0.00;0;1.16;0.06
12.04.2024 14:59:28;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.03;15.74;1.00; 0.00;41;25;2349.05;6.52;27367520; 694940;34.73;132;36;1302.14;1.33;0.00;0;1.07;0.06
12.04.2024 14:59:34;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.03;14.56;0.93; 0.00;41;25;2171.77;6.03;27367520; 695152;34.74;132;36;1203.84;1.23;0.00;0;0.99;0.05
12.04.2024 14:59:40;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.02;15.27;0.90; 0.00;41;26;2042.42;5.57;27370052; 709428;35.46;132;36;1119.24;1.57;0.00;0;0.91;0.05
12.04.2024 14:59:46;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.02;14.38;0.84; 0.00;41;25;1909.81;5.21;27370052; 709640;35.47;132;36;1046.06;1.75;0.00;0;0.85;0.05
12.04.2024 14:59:52;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.02;13.67;0.79; 0.00;41;26;1792.41;4.89;27370052; 709852;35.48;132;36;981.40;1.77;0.00;0;0.80;0.04
12.04.2024 14:59:58;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.02;12.95;0.75; 0.00;41;25;1689.88;4.61;27370052; 710212;35.50;132;36;924.93;1.75;0.00;0;0.75;0.04
12.04.2024 15:00:03;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.02;12.26;0.71; 0.00;41;25;1597.93;4.35;27370052; 710212;35.50;132;36;874.60;1.65;0.00;0;0.71;0.04
12.04.2024 15:00:09;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.02;11.62;0.68; 0.00;41;25;1515.35;4.13;27370052; 710212;35.50;132;36;829.39;1.57;0.00;0;0.67;0.04
12.04.2024 15:00:15;714;/usr/bin/java -jar -Xlog:gc -XX:+UseZGC -XX:+ZGenerational /var/www/siimon/backend/backend-0.jar;java;0.0;0;0.02;11.06;0.65; 0.00;41;25;1440.51;3.93;27370052; 710224;35.50;132;36;788.42;1.49;0.00;0;0.64;0.03
