"Time","Result"
"12.04.2024 17:36:19","2ms, Maximum"
"12.04.2024 17:36:24","2ms, Maximum"
"12.04.2024 17:36:29","2ms, Maximum"
"12.04.2024 17:36:34","2ms, Maximum"
"12.04.2024 17:36:39","3ms, Maximum"
"12.04.2024 17:36:44","2ms, Maximum"
"12.04.2024 17:36:49","2ms, Maximum"
"12.04.2024 17:40:30","2ms, Maximum"
"12.04.2024 17:40:35","2ms, Maximum"
"12.04.2024 17:40:40","2ms, Maximum"
"12.04.2024 17:40:45","2ms, Maximum"
"12.04.2024 17:40:50","2ms, Maximum"
"12.04.2024 17:40:55","2ms, Maximum"
"12.04.2024 17:41:00","2ms, Maximum"
"12.04.2024 17:41:05","2ms, Maximum"
"12.04.2024 17:41:10","2ms, Maximum"
"12.04.2024 17:41:15","2ms, Maximum"
"12.04.2024 17:41:21","2ms, Maximum"
"12.04.2024 17:41:26","2ms, Maximum"
"12.04.2024 17:41:31","2ms, Maximum"
"12.04.2024 17:41:36","2ms, Maximum"
"12.04.2024 17:41:41","2ms, Maximum"
"12.04.2024 17:41:46","2ms, Maximum"
"12.04.2024 17:41:51","2ms, Maximum"
"12.04.2024 17:41:56","2ms, Maximum"
"12.04.2024 17:42:01","3ms, Maximum"
"12.04.2024 17:42:06","2ms, Maximum"
"12.04.2024 17:42:11","8ms, Maximum"
"12.04.2024 17:42:16","2ms, Maximum"
"12.04.2024 17:42:21","2ms, Maximum"
"12.04.2024 17:42:26","2ms, Maximum"
"12.04.2024 17:42:31","2ms, Maximum"
"12.04.2024 17:42:36","2ms, Maximum"
"12.04.2024 17:42:41","2ms, Maximum"
"12.04.2024 17:42:46","2ms, Maximum"
"12.04.2024 17:42:51","2ms, Maximum"
"12.04.2024 17:42:56","2ms, Maximum"
"12.04.2024 17:43:01","2ms, Maximum"
"12.04.2024 17:43:06","2ms, Maximum"
"12.04.2024 17:43:11","2ms, Maximum"
"12.04.2024 17:43:16","2ms, Maximum"
"12.04.2024 17:43:21","2ms, Maximum"
"12.04.2024 17:43:26","2ms, Maximum"
"12.04.2024 17:43:31","2ms, Maximum"
"12.04.2024 17:43:36","2ms, Maximum"
"12.04.2024 17:43:41","2ms, Maximum"
"12.04.2024 17:43:46","2ms, Maximum"
"12.04.2024 17:43:51","2ms, Maximum"
"12.04.2024 17:43:56","2ms, Maximum"
"12.04.2024 17:44:01","2ms, Maximum"
"12.04.2024 17:44:06","2ms, Maximum"
"12.04.2024 17:44:11","2ms, Maximum"
"12.04.2024 17:44:17","2ms, Maximum"
"12.04.2024 17:44:22","2ms, Maximum"
"12.04.2024 17:44:27","2ms, Maximum"
"12.04.2024 17:44:32","2ms, Maximum"
"12.04.2024 17:44:37","2ms, Maximum"
"12.04.2024 17:44:42","2ms, Maximum"
"12.04.2024 17:44:47","2ms, Maximum"
"12.04.2024 17:44:52","2ms, Maximum"
"12.04.2024 17:44:57","2ms, Maximum"
"12.04.2024 17:45:02","2ms, Maximum"
"12.04.2024 17:45:07","2ms, Maximum"
"12.04.2024 17:45:12","2ms, Maximum"
"12.04.2024 17:45:17","2ms, Maximum"
"12.04.2024 17:45:22","2ms, Maximum"
"12.04.2024 17:45:27","2ms, Maximum"
"12.04.2024 17:45:32","2ms, Maximum"
"12.04.2024 17:45:37","2ms, Maximum"
"12.04.2024 17:45:42","2ms, Maximum"
"12.04.2024 17:45:47","2ms, Maximum"
"12.04.2024 17:45:52","2ms, Maximum"
"12.04.2024 17:45:57","2ms, Maximum"
"12.04.2024 17:46:02","2ms, Maximum"
"12.04.2024 17:46:07","2ms, Maximum"
"12.04.2024 17:46:12","2ms, Maximum"
"12.04.2024 17:46:17","2ms, Maximum"
"12.04.2024 17:46:22","2ms, Maximum"
"12.04.2024 17:46:27","2ms, Maximum"
"12.04.2024 17:46:32","2ms, Maximum"
"12.04.2024 17:46:37","2ms, Maximum"
"12.04.2024 17:46:42","2ms, Maximum"
"12.04.2024 17:46:47","2ms, Maximum"
"12.04.2024 17:46:52","2ms, Maximum"
"12.04.2024 17:46:57","2ms, Maximum"
"12.04.2024 17:47:03","2ms, Maximum"
"12.04.2024 17:47:08","2ms, Maximum"
"12.04.2024 17:47:13","2ms, Maximum"
"12.04.2024 17:47:18","2ms, Maximum"
"12.04.2024 17:47:23","2ms, Maximum"
"12.04.2024 17:47:28","2ms, Maximum"
"12.04.2024 17:47:33","2ms, Maximum"
"12.04.2024 17:47:38","2ms, Maximum"
"12.04.2024 17:47:43","2ms, Maximum"
"12.04.2024 17:47:48","2ms, Maximum"
"12.04.2024 17:47:53","2ms, Maximum"
"12.04.2024 17:47:58","2ms, Maximum"
"12.04.2024 17:48:03","2ms, Maximum"
"12.04.2024 17:48:08","2ms, Maximum"
"12.04.2024 17:48:13","2ms, Maximum"
"12.04.2024 17:48:18","4ms, Maximum"
"12.04.2024 17:48:23","2ms, Maximum"
"12.04.2024 17:48:28","2ms, Maximum"
"12.04.2024 17:48:33","2ms, Maximum"
"12.04.2024 17:48:38","2ms, Maximum"
"12.04.2024 17:48:43","2ms, Maximum"
"12.04.2024 17:48:48","2ms, Maximum"
"12.04.2024 17:48:53","2ms, Maximum"
"12.04.2024 17:48:58","2ms, Maximum"
"12.04.2024 17:49:03","2ms, Maximum"
"12.04.2024 17:49:08","2ms, Maximum"
"12.04.2024 17:49:13","2ms, Maximum"
"12.04.2024 17:49:18","2ms, Maximum"
"12.04.2024 17:49:23","2ms, Maximum"
"12.04.2024 17:49:28","2ms, Maximum"
"12.04.2024 17:49:33","2ms, Maximum"
"12.04.2024 17:49:38","2ms, Maximum"
"12.04.2024 17:49:44","2ms, Maximum"
"12.04.2024 17:49:49","2ms, Maximum"
"12.04.2024 17:49:54","2ms, Maximum"
"12.04.2024 17:49:59","2ms, Maximum"
"12.04.2024 17:50:04","2ms, Maximum"
"12.04.2024 17:50:09","2ms, Maximum"
"12.04.2024 17:50:14","2ms, Maximum"
"12.04.2024 17:50:19","2ms, Maximum"
"12.04.2024 17:50:24","2ms, Maximum"
"12.04.2024 17:50:29","2ms, Maximum"
"12.04.2024 17:50:34","2ms, Maximum"
"12.04.2024 17:50:39","2ms, Maximum"
"12.04.2024 17:50:44","2ms, Maximum"
"12.04.2024 17:50:49","2ms, Maximum"
"12.04.2024 17:50:54","2ms, Maximum"
"12.04.2024 17:50:59","2ms, Maximum"
"12.04.2024 17:51:04","2ms, Maximum"
"12.04.2024 17:51:09","2ms, Maximum"
"12.04.2024 17:51:14","2ms, Maximum"
"12.04.2024 17:51:19","2ms, Maximum"
"12.04.2024 17:51:24","2ms, Maximum"
"12.04.2024 17:51:29","2ms, Maximum"
"12.04.2024 17:51:34","2ms, Maximum"
"12.04.2024 17:51:39","2ms, Maximum"
"12.04.2024 17:51:44","2ms, Maximum"
"12.04.2024 17:51:49","2ms, Maximum"
"12.04.2024 17:51:54","2ms, Maximum"
"12.04.2024 17:51:59","2ms, Maximum"
"12.04.2024 17:52:04","2ms, Maximum"
"12.04.2024 17:52:09","2ms, Maximum"
"12.04.2024 17:52:14","2ms, Maximum"
"12.04.2024 17:52:19","2ms, Maximum"
"12.04.2024 17:52:24","2ms, Maximum"
"12.04.2024 17:52:29","2ms, Maximum"
"12.04.2024 17:52:34","2ms, Maximum"
"12.04.2024 17:52:39","2ms, Maximum"
"12.04.2024 17:52:44","2ms, Maximum"
"12.04.2024 17:52:50","2ms, Maximum"
"12.04.2024 17:52:55","2ms, Maximum"
"12.04.2024 17:53:00","2ms, Maximum"
"12.04.2024 17:53:05","2ms, Maximum"
"12.04.2024 17:53:10","2ms, Maximum"
"12.04.2024 17:53:15","2ms, Maximum"
"12.04.2024 17:53:20","2ms, Maximum"
"12.04.2024 17:53:25","2ms, Maximum"
"12.04.2024 17:53:30","2ms, Maximum"
"12.04.2024 17:53:35","2ms, Maximum"
"12.04.2024 17:53:40","2ms, Maximum"
"12.04.2024 17:53:45","2ms, Maximum"
"12.04.2024 17:53:50","2ms, Maximum"
"12.04.2024 17:53:55","2ms, Maximum"
"12.04.2024 17:54:00","2ms, Maximum"
"12.04.2024 17:54:05","2ms, Maximum"
"12.04.2024 17:54:10","2ms, Maximum"
"12.04.2024 17:54:15","2ms, Maximum"
"12.04.2024 17:54:20","2ms, Maximum"
"12.04.2024 17:54:25","2ms, Maximum"
"12.04.2024 17:54:30","3ms, Maximum"
"12.04.2024 17:54:35","2ms, Maximum"
"12.04.2024 17:54:40","2ms, Maximum"
"12.04.2024 17:54:45","2ms, Maximum"
"12.04.2024 17:54:50","2ms, Maximum"
"12.04.2024 17:54:55","2ms, Maximum"
"12.04.2024 17:55:00","2ms, Maximum"
"12.04.2024 17:55:05","2ms, Maximum"
"12.04.2024 17:55:10","9ms, Maximum"
"12.04.2024 17:55:15","2ms, Maximum"
"12.04.2024 17:55:20","2ms, Maximum"
"12.04.2024 17:55:25","2ms, Maximum"
"12.04.2024 17:55:30","2ms, Maximum"
"12.04.2024 17:55:35","2ms, Maximum"
"12.04.2024 17:55:40","2ms, Maximum"
"12.04.2024 17:55:46","2ms, Maximum"
"12.04.2024 17:55:51","3ms, Maximum"
"12.04.2024 17:55:56","2ms, Maximum"
"12.04.2024 17:56:01","2ms, Maximum"
"12.04.2024 17:56:06","2ms, Maximum"
"12.04.2024 17:56:11","2ms, Maximum"
