"Time","Result"
"10.04.2024 15:42:26","3ms, Maximum"
"10.04.2024 15:42:31","2ms, Maximum"
"10.04.2024 15:42:36","2ms, Maximum"
"10.04.2024 15:42:41","2ms, Maximum"
"10.04.2024 15:42:46","3ms, Maximum"
"10.04.2024 15:42:51","2ms, Maximum"
"10.04.2024 15:42:56","2ms, Maximum"
"10.04.2024 15:43:01","2ms, Maximum"
"10.04.2024 15:43:06","2ms, Maximum"
"10.04.2024 15:43:11","2ms, Maximum"
"10.04.2024 15:43:16","2ms, Maximum"
"10.04.2024 15:43:21","2ms, Maximum"
"10.04.2024 15:43:26","3ms, Maximum"
"10.04.2024 15:43:31","3ms, Maximum"
"10.04.2024 15:43:36","2ms, Maximum"
"10.04.2024 15:43:41","2ms, Maximum"
"10.04.2024 15:43:46","2ms, Maximum"
"10.04.2024 15:43:51","2ms, Maximum"
"10.04.2024 15:43:56","10ms, Maximum"
"10.04.2024 15:44:01","2ms, Maximum"
"10.04.2024 15:44:06","3ms, Maximum"
"10.04.2024 15:44:11","2ms, Maximum"
"10.04.2024 15:44:16","2ms, Maximum"
"10.04.2024 15:44:21","2ms, Maximum"
"10.04.2024 15:44:26","2ms, Maximum"
"10.04.2024 15:44:31","4ms, Maximum"
"10.04.2024 15:44:36","2ms, Maximum"
"10.04.2024 15:44:41","2ms, Maximum"
"10.04.2024 15:44:46","2ms, Maximum"
"10.04.2024 15:44:51","2ms, Maximum"
"10.04.2024 15:44:57","5ms, Maximum"
"10.04.2024 15:45:02","2ms, Maximum"
"10.04.2024 15:45:07","2ms, Maximum"
"10.04.2024 15:45:12","2ms, Maximum"
"10.04.2024 15:45:17","5ms, Maximum"
"10.04.2024 15:45:22","2ms, Maximum"
"10.04.2024 15:45:27","2ms, Maximum"
"10.04.2024 15:45:32","2ms, Maximum"
"10.04.2024 15:45:37","4ms, Maximum"
"10.04.2024 15:45:42","2ms, Maximum"
"10.04.2024 15:45:47","2ms, Maximum"
"10.04.2024 15:45:52","3ms, Maximum"
"10.04.2024 15:45:57","2ms, Maximum"
"10.04.2024 15:46:02","2ms, Maximum"
"10.04.2024 15:46:07","3ms, Maximum"
"10.04.2024 15:46:12","3ms, Maximum"
"10.04.2024 15:46:17","3ms, Maximum"
"10.04.2024 15:46:22","2ms, Maximum"
"10.04.2024 15:46:27","2ms, Maximum"
"10.04.2024 15:46:32","2ms, Maximum"
"10.04.2024 15:46:37","3ms, Maximum"
"10.04.2024 15:46:42","2ms, Maximum"
"10.04.2024 15:46:47","11ms, Maximum"
"10.04.2024 15:46:52","3ms, Maximum"
"10.04.2024 15:46:57","2ms, Maximum"
"10.04.2024 15:47:02","3ms, Maximum"
"10.04.2024 15:47:07","7ms, Maximum"
"10.04.2024 15:47:12","2ms, Maximum"
"10.04.2024 15:47:17","3ms, Maximum"
"10.04.2024 15:47:23","4ms, Maximum"
"10.04.2024 15:47:28","2ms, Maximum"
"10.04.2024 15:47:33","3ms, Maximum"
"10.04.2024 15:47:38","2ms, Maximum"
"10.04.2024 15:47:43","2ms, Maximum"
"10.04.2024 15:47:48","2ms, Maximum"
"10.04.2024 15:47:53","2ms, Maximum"
"10.04.2024 15:47:58","3ms, Maximum"
"10.04.2024 15:48:03","2ms, Maximum"
"10.04.2024 15:48:08","3ms, Maximum"
"10.04.2024 15:48:13","3ms, Maximum"
"10.04.2024 15:48:18","3ms, Maximum"
"10.04.2024 15:48:23","2ms, Maximum"
"10.04.2024 15:48:28","2ms, Maximum"
"10.04.2024 15:48:33","3ms, Maximum"
"10.04.2024 15:48:38","2ms, Maximum"
"10.04.2024 15:48:43","2ms, Maximum"
"10.04.2024 15:48:48","2ms, Maximum"
"10.04.2024 15:48:53","2ms, Maximum"
